	group	names	scores	logfoldchanges	pvals	pvals_adj
0	CD16+ Monocytes	LST1	28.971334	3.2098536	1.5117125232622755e-184	2.5661320082377127e-180
1	CD16+ Monocytes	FCGR3A	28.859753	6.2141376	3.8227528565222735e-183	3.24456148697328e-179
2	CD16+ Monocytes	CDKN1C	28.254538	7.8419843	1.2518921020898587e-175	7.083622810991783e-172
3	CD16+ Monocytes	FCER1G	27.859238	2.6415954	8.3249706910215e-171	3.532909437002249e-167
4	CD16+ Monocytes	PELATON	27.64507	4.2559505	3.1989333406784616e-168	1.0860378691603377e-164
5	CD16+ Monocytes	AIF1	26.745874	2.6457107	1.3790547806721729e-157	3.901575816985023e-154
6	CD16+ Monocytes	MS4A7	26.302391	3.9037864	1.8006293484604932e-152	4.366526170016696e-149
7	CD16+ Monocytes	IFITM2	24.769197	2.5807276	1.925879271399997e-135	4.086475079001869e-132
8	CD16+ Monocytes	NAP1L1	24.552183	2.255114	4.098860303070424e-133	7.730905960513382e-130
9	CD16+ Monocytes	SAT1	24.142334	2.2694066	8.987756381642561e-129	1.5256716457838247e-125
10	CD16+ Monocytes	HES4	23.883007	6.6621556	4.5998512072789816e-126	7.09840674941461e-123
11	CD16+ Monocytes	TCF7L2	23.854153	4.618632	9.169792976113697e-126	1.2971436314127502e-122
12	CD16+ Monocytes	IFITM3	23.797571	3.4891763	3.538873708513729e-125	4.620952400155427e-122
13	CD16+ Monocytes	COTL1	23.646206	1.9307086	1.2913247794961845e-123	1.5657312951391237e-120
14	CD16+ Monocytes	RHOC	23.513115	3.9669898	2.994973682626445e-122	3.38931188417226e-119
15	CD16+ Monocytes	RPS19	22.961952	1.1856413	1.1193480713661032e-116	1.1875583444649752e-113
16	CD16+ Monocytes	HMOX1	22.404005	3.4419909	3.597420771292429e-111	3.592130446628763e-108
17	CD16+ Monocytes	DRAP1	22.169876	2.230125	6.70961509560514e-109	6.327539791549848e-106
18	CD16+ Monocytes	FTH1	21.9174	1.602516	1.7729676102813399e-106	1.5840065886592496e-103
19	CD16+ Monocytes	S100A11	21.807997	1.6779624	1.9482004388364985e-105	1.6535351224624782e-102
20	CD16+ Monocytes	CEBPB	21.720594	2.2612503	1.3107367966066807e-104	1.0595122439237337e-101
21	CD16+ Monocytes	LYN	21.622717	2.3491797	1.098163752859889e-103	8.473331683998462e-101
22	CD16+ Monocytes	SPI1	21.354322	2.2529173	3.5548648671158257e-101	2.623644831273528e-98
23	CD16+ Monocytes	TMSB4X	21.29022	0.6468927	1.3986965483872341e-100	9.892864128697207e-98
24	CD16+ Monocytes	CFD	21.269978	2.384417	2.1538568568930641e-100	1.4624688058303907e-97
25	CD16+ Monocytes	BCL2A1	20.994835	2.9588912	7.311717438716297e-98	4.773707827777275e-95
26	CD16+ Monocytes	ASAH1	20.882023	2.0500872	7.801919853338353e-97	4.90509590779328e-94
27	CD16+ Monocytes	MTSS1	20.840305	3.9904263	1.8664140958235159e-96	1.1315135455930065e-93
28	CD16+ Monocytes	MTPN	20.537119	1.7439487	1.0034173305078598e-93	5.873451443231351e-91
29	CD16+ Monocytes	ARPC3	20.531075	1.126871	1.1363580622821813e-93	6.429892702413343e-91
30	CD16+ Monocytes	SIGLEC10	20.37651	3.482792	2.702489105031392e-92	1.4798307276744478e-89
31	CD16+ Monocytes	RRAS	20.34105	3.556717	5.57245524853087e-92	2.9560133701191103e-89
