	manual_celltype_labels
15348637	CD14+ Mono
56502955	DC
26651132	CD14+ Mono
35470615	CD14+ Mono
44358233	CD14+ Mono
2742057	CD14+ Mono
7348167	CD14+ Mono
18592353	CD14+ Mono
19424136	CD14+ Mono
50992090	CD14+ Mono
24715674	CD14+ Mono
21147590	T cells
8998763	T cells
43232506	DC
8935306	CD14+ Mono
5958268	CD14+ Mono
5642149	CD14+ Mono
34990756	DC
19901842	CD14-
47525987	CD14-
16504126	CD14+ Mono
5753692	T cells
22683896	T cells
1189727	CD14-
15448202	CD14+ Mono
51436372	CD14+ Mono
5062626	CD14+ Mono
11517326	CD14+ Mono
49902683	CD14+ Mono
53570282	CD14-
48459600	T cells
54317220	CD14+ Mono
20076242	CD14+ Mono
40160770	CD14+ Mono
50123896	DC
35653776	DC
31676703	CD14+ Mono
51806910	CD14-
6186816	T cells
2973170	CD14+ Mono
19384905	CD14+ Mono
32136885	DC
13748394	CD14+ Mono
33236219	CD14+ Mono
49470464	CD14+ Mono
7418396	CD14+ Mono
46819811	CD14+ Mono
33659172	CD14+ Mono
30116735	CD14+ Mono
29983720	CD14-
28952728	T cells
35536677	CD14+ Mono
13721515	CD14+ Mono
18022627	CD14+ Mono
6031797	CD14+ Mono
34144754	CD14+ Mono
51597811	CD14+ Mono
220809	CD14+ Mono
11057728	CD14-
25620614	CD14+ Mono
6914049	CD14+ Mono
37603814	CD14+ Mono
53158525	CD14+ Mono
38862439	CD14+ Mono
47723948	CD14+ Mono
16701297	T cells
25736147	DC
14326859	DC
45504598	CD14-
2732193	CD14+ Mono
45981250	CD14-
15935607	DC
8444920	CD14+ Mono
19037902	CD14+ Mono
48646726	CD14+ Mono
55789832	CD14+ Mono
20383407	CD14+ Mono
48012799	CD14-
8084803	CD14+ Mono
22526400	CD14+ Mono
24089185	CD14+ Mono
39519824	T cells
22821744	CD14+ Mono
51861455	CD14+ Mono
38059316	CD14+ Mono
12538208	CD14-
29074439	CD14+ Mono
37458536	CD14+ Mono
13225964	CD14+ Mono
50735596	CD14+ Mono
1134357	CD14+ Mono
11131373	DC
785051	CD14+ Mono
55314904	CD14+ Mono
5944655	CD14-
29547844	CD14+ Mono
42377428	T cells
8880067	CD14+ Mono
8217705	CD14+ Mono
34759943	T cells
28427757	CD14+ Mono
31108843	CD14+ Mono
1411177	CD14+ Mono
47191077	CD14+ Mono
55499712	DC
33503578	T cells
39926465	CD14+ Mono
17978144	CD14+ Mono
3257587	T cells
43655635	CD14+ Mono
13983518	T cells
22221877	T cells
50939387	CD14-
12474429	CD14+ Mono
3142427	CD14+ Mono
13321642	CD14+ Mono
49283366	CD14+ Mono
35031345	CD14-
47138881	CD14+ Mono
44374456	CD14+ Mono
43521625	CD14+ Mono
21552819	CD14+ Mono
41595520	CD14-
8928842	CD14+ Mono
19306706	CD14+ Mono
41295121	CD14+ Mono
5984418	CD14+ Mono
29436561	CD14+ Mono
13266349	CD14-
12144766	CD14+ Mono
12889123	CD14+ Mono
829634	CD14+ Mono
21072691	DC
15818659	CD14+ Mono
46363325	CD14+ Mono
51233624	CD14+ Mono
52571872	CD14+ Mono
53177394	T cells
25374541	CD14+ Mono
13080805	CD14+ Mono
51232130	CD14+ Mono
52669779	CD14+ Mono
23142155	CD14+ Mono
27741833	T cells
14814440	CD14+ Mono
35122849	CD14+ Mono
11007566	CD14+ Mono
44967763	T cells
54147738	CD14+ Mono
14854248	CD14+ Mono
53433557	CD14+ Mono
51557709	DC
20607238	CD14-
4643991	T cells
31311217	CD14+ Mono
19008310	CD14+ Mono
18728905	CD14+ Mono
37552799	CD14+ Mono
28717641	CD14+ Mono
54676989	CD14+ Mono
18580036	CD14-
39113061	T cells
40157202	CD14+ Mono
50954617	CD14+ Mono
4979836	CD14+ Mono
35605550	CD14-
7159727	CD14+ Mono
44734392	CD14+ Mono
12505166	CD14+ Mono
32534309	CD14+ Mono
18249561	CD14+ Mono
55274066	CD14+ Mono
41781370	CD14+ Mono
27107304	CD14+ Mono
27058015	CD14+ Mono
40592612	CD14+ Mono
2218870	CD14+ Mono
39415096	CD14+ Mono
46809292	CD14+ Mono
37357603	CD14+ Mono
45353355	CD14+ Mono
24026368	CD14+ Mono
7310808	DC
56173054	CD14+ Mono
15716889	CD14+ Mono
47831050	CD14+ Mono
48821048	CD14+ Mono
28677948	CD14+ Mono
41326595	CD14+ Mono
17369195	CD14-
11390657	CD14-
1171402	CD14+ Mono
6710731	CD14+ Mono
51803507	CD14+ Mono
37122707	CD14+ Mono
6071091	CD14+ Mono
16449615	CD14+ Mono
36441336	CD14+ Mono
53699002	CD14+ Mono
45879736	CD14+ Mono
901066	CD14-
16270525	CD14+ Mono
20749358	CD14-
56360999	CD14+ Mono
30957318	DC
55843920	T cells
38635962	CD14-
7579747	CD14+ Mono
48818052	CD14+ Mono
14839200	CD14+ Mono
12045360	CD14+ Mono
45127454	T cells
56441812	CD14+ Mono
35965150	CD14+ Mono
6945116	CD14+ Mono
16059590	CD14+ Mono
41613161	CD14-
20083155	CD14+ Mono
19423216	CD14+ Mono
29907446	CD14+ Mono
23166482	CD14+ Mono
24740549	CD14+ Mono
11385375	CD14+ Mono
28246403	T cells
55103125	DC
40263655	CD14+ Mono
28844636	CD14+ Mono
32403141	CD14+ Mono
15708265	CD14+ Mono
20213633	CD14+ Mono
31357925	CD14+ Mono
36332003	CD14+ Mono
5505244	DC
36574049	CD14+ Mono
51887009	CD14+ Mono
26357564	CD14+ Mono
31874600	CD14+ Mono
45042410	CD14+ Mono
5217083	CD14+ Mono
7371567	CD14-
841514	DC
27922172	CD14+ Mono
40996359	CD14+ Mono
15487705	CD14+ Mono
670879	CD14+ Mono
32570522	CD14+ Mono
20624279	T cells
52760326	CD14-
33125617	CD14+ Mono
11503696	CD14+ Mono
37651555	CD14+ Mono
32358096	CD14+ Mono
32085100	CD14+ Mono
4614462	DC
48516775	T cells
24601546	CD14+ Mono
43052289	T cells
49890912	CD14+ Mono
32580404	CD14+ Mono
14036765	CD14+ Mono
43633869	CD14+ Mono
46874851	CD14-
50482381	CD14+ Mono
41148580	CD14-
50283515	CD14+ Mono
43165989	CD14+ Mono
4638898	CD14+ Mono
37242397	CD14+ Mono
31692551	CD14+ Mono
32514005	T cells
41332612	CD14+ Mono
40665591	CD14+ Mono
25009891	CD14+ Mono
17640641	CD14+ Mono
56406623	DC
8565021	CD14+ Mono
44044111	CD14-
55165061	CD14-
10665518	DC
50623107	T cells
45046234	CD14+ Mono
26495541	T cells
48411434	CD14+ Mono
30168294	CD14+ Mono
52548866	CD14+ Mono
10511016	CD14+ Mono
40306625	CD14+ Mono
47022677	CD14+ Mono
37577146	CD14+ Mono
25484745	CD14+ Mono
50885778	DC
29204670	CD14+ Mono
9883381	CD14+ Mono
46840367	T cells
24178112	CD14+ Mono
54623762	CD14+ Mono
51204977	CD14+ Mono
25595232	CD14+ Mono
28288833	DC
51118020	CD14+ Mono
18639435	CD14+ Mono
52351870	DC
33170545	CD14+ Mono
23695221	T cells
24781519	CD14+ Mono
43992995	CD14+ Mono
54227485	CD14-
14798543	CD14+ Mono
55733572	CD14+ Mono
12929157	CD14-
19692237	CD14+ Mono
29470943	DC
36918048	CD14+ Mono
15680956	CD14+ Mono
31371096	CD14+ Mono
41481188	CD14+ Mono
22719603	CD14+ Mono
16807045	CD14-
14792582	CD14+ Mono
21238105	CD14+ Mono
44344653	CD14+ Mono
985212	CD14+ Mono
53749649	CD14-
36152706	CD14+ Mono
21613841	CD14+ Mono
49253492	DC
36865333	CD14+ Mono
9756485	CD14+ Mono
2482796	CD14+ Mono
32722355	T cells
42383090	CD14-
29587064	T cells
7904177	CD14+ Mono
19235114	CD14+ Mono
18369428	CD14+ Mono
34837989	CD14+ Mono
7826886	CD14+ Mono
10615111	CD14+ Mono
48084920	CD14+ Mono
48312092	CD14+ Mono
35247602	CD14-
12471633	CD14+ Mono
4374909	T cells
54606199	CD14+ Mono
7469016	CD14-
40336763	CD14+ Mono
35463606	CD14-
6964964	CD14+ Mono
53024748	T cells
43893657	CD14+ Mono
8129631	CD14+ Mono
39616334	CD14+ Mono
24172419	CD14+ Mono
28169970	CD14+ Mono
22847331	CD14+ Mono
24381724	CD14-
7481374	CD14+ Mono
22828918	CD14+ Mono
28566221	CD14+ Mono
56048426	CD14+ Mono
1292825	CD14+ Mono
56510652	CD14-
32521790	CD14+ Mono
32954869	CD14+ Mono
24472697	CD14-
234968	CD14+ Mono
21686955	CD14+ Mono
17250699	CD14+ Mono
12599465	CD14+ Mono
42736827	CD14+ Mono
43468758	CD14+ Mono
8857630	CD14-
45788332	CD14+ Mono
10622872	CD14+ Mono
30123833	CD14+ Mono
11608681	CD14+ Mono
29235294	CD14+ Mono
15709707	CD14+ Mono
34411982	CD14+ Mono
43784822	CD14+ Mono
16966557	CD14+ Mono
17721085	CD14+ Mono
41185018	CD14+ Mono
40643494	CD14-
39000019	CD14-
11180462	DC
18540366	CD14+ Mono
39187019	CD14+ Mono
49368712	CD14+ Mono
40810611	CD14+ Mono
43719624	T cells
28023277	CD14-
13708659	CD14+ Mono
21046882	CD14+ Mono
26920331	CD14-
6413741	CD14+ Mono
10683568	CD14-
5475864	DC
41213397	CD14+ Mono
31206691	DC
13600098	CD14+ Mono
23383506	CD14+ Mono
21715771	CD14-
33263547	CD14+ Mono
10609296	T cells
51656380	CD14+ Mono
49554031	T cells
44390455	T cells
20631358	CD14+ Mono
37686811	CD14-
53289055	CD14+ Mono
38713090	CD14+ Mono
673251	T cells
32820565	CD14+ Mono
21549512	CD14+ Mono
18277192	DC
13137294	T cells
50885616	T cells
38269459	CD14+ Mono
49264286	T cells
53296006	CD14+ Mono
45852078	T cells
6496115	CD14-
28487970	CD14+ Mono
40042946	CD14+ Mono
53556269	CD14+ Mono
20669759	CD14+ Mono
32546282	CD14+ Mono
43947956	CD14+ Mono
12012281	CD14-
46003935	T cells
2826616	T cells
40392016	CD14+ Mono
50247349	CD14+ Mono
30546947	T cells
37614182	T cells
1160996	CD14+ Mono
35016642	CD14+ Mono
32342748	CD14+ Mono
35705874	CD14-
37927618	CD14+ Mono
11260228	T cells
49467181	CD14+ Mono
39673630	DC
47450926	CD14+ Mono
23444679	CD14+ Mono
50059942	CD14+ Mono
16957473	CD14+ Mono
47770650	DC
24461209	CD14+ Mono
49169660	DC
17664382	CD14-
46339885	CD14+ Mono
24575317	CD14-
790925	CD14+ Mono
26581746	CD14+ Mono
14722622	CD14+ Mono
48708143	CD14+ Mono
30527109	DC
13446879	T cells
20150622	CD14+ Mono
46386914	CD14+ Mono
41985401	CD14-
27987682	CD14-
8830134	CD14-
53185330	CD14+ Mono
41761044	T cells
45450768	T cells
25345989	CD14+ Mono
1546122	CD14+ Mono
36788532	T cells
30321537	DC
27709064	CD14-
53114647	T cells
26451570	CD14+ Mono
44996026	CD14+ Mono
52152192	CD14+ Mono
6052565	CD14+ Mono
47443667	CD14-
31704875	CD14+ Mono
10025987	CD14+ Mono
32637816	CD14+ Mono
6695589	CD14-
10258693	CD14+ Mono
33459492	CD14+ Mono
45900197	CD14+ Mono
23586546	CD14+ Mono
15677640	T cells
29996441	CD14-
36566986	CD14+ Mono
34846289	CD14-
18964168	CD14-
22093169	CD14+ Mono
49725806	CD14+ Mono
39933853	CD14-
19921986	CD14+ Mono
52174721	CD14+ Mono
26523462	CD14+ Mono
48286581	T cells
26198410	DC
45855742	T cells
3387468	CD14+ Mono
48918694	CD14+ Mono
12970907	CD14+ Mono
55011262	T cells
42545107	T cells
19587614	CD14+ Mono
16601960	CD14-
43065880	CD14+ Mono
40991798	CD14+ Mono
29903775	CD14+ Mono
24177039	CD14+ Mono
9773655	CD14+ Mono
27304047	CD14+ Mono
26416080	T cells
53685643	CD14-
15450742	CD14+ Mono
25836651	CD14-
39273602	DC
55481561	CD14+ Mono
36302963	CD14+ Mono
12644878	CD14+ Mono
51384056	CD14+ Mono
10357830	T cells
26055488	CD14+ Mono
30016027	CD14-
47493623	CD14+ Mono
34562657	CD14+ Mono
14404214	DC
6874341	CD14+ Mono
12219611	CD14+ Mono
21775420	CD14+ Mono
22411024	T cells
19807784	CD14+ Mono
48661581	CD14+ Mono
39280842	T cells
29274108	DC
47943899	CD14+ Mono
11450678	CD14+ Mono
43835574	CD14+ Mono
53656899	CD14+ Mono
29466487	CD14+ Mono
49245504	CD14+ Mono
31648622	CD14-
51706331	T cells
28125227	CD14+ Mono
31936498	CD14+ Mono
53450608	T cells
13466773	CD14+ Mono
32405456	CD14+ Mono
21167911	CD14+ Mono
50780810	CD14+ Mono
48885598	CD14+ Mono
979682	T cells
12025069	CD14+ Mono
41888875	CD14+ Mono
31778216	CD14+ Mono
1315388	CD14+ Mono
20723092	CD14+ Mono
13483523	T cells
34366283	CD14+ Mono
54283337	CD14+ Mono
27744669	CD14+ Mono
8180122	CD14+ Mono
41992113	CD14+ Mono
36681238	CD14+ Mono
24855272	T cells
10169509	CD14+ Mono
20978136	CD14+ Mono
44209126	CD14+ Mono
50304176	T cells
26904287	T cells
19861377	DC
55464478	CD14+ Mono
