	manual_celltype_labels
24499500	CD14+ Mono
49212578	CD14+ Mono
54612873	CD14+ Mono
38136894	T cells
30685782	CD14+ Mono
3096532	CD14+ Mono
3407240	DC
20418691	CD14+ Mono
16846627	CD14-
28534883	CD14+ Mono
26782664	CD14+ Mono
17820554	CD14+ Mono
31400972	CD14-
22854562	CD14+ Mono
2496297	CD14+ Mono
13960586	CD14+ Mono
51871460	T cells
55216174	CD14+ Mono
4857280	CD14-
15035698	CD14-
24063100	CD14+ Mono
41950900	CD14+ Mono
54230835	DC
18151759	CD14+ Mono
12680522	CD14-
11889180	CD14+ Mono
46228395	T cells
8168337	DC
48349766	CD14+ Mono
1568862	CD14+ Mono
35752035	DC
27045554	CD14+ Mono
45250358	CD14+ Mono
40424073	CD14+ Mono
42918553	T cells
10833726	CD14+ Mono
49346913	CD14+ Mono
19316018	CD14-
8563954	CD14+ Mono
3139778	CD14+ Mono
16472977	CD14+ Mono
20745117	CD14+ Mono
3731884	CD14+ Mono
12327665	CD14+ Mono
48629090	CD14+ Mono
979314	CD14+ Mono
6777295	CD14-
41959594	CD14+ Mono
1133238	CD14+ Mono
14614111	CD14-
21207843	CD14+ Mono
32704691	CD14+ Mono
49092117	CD14-
24593181	T cells
53571228	CD14+ Mono
2774609	CD14+ Mono
18203303	CD14+ Mono
52992924	T cells
23328968	T cells
47839030	T cells
2990154	CD14+ Mono
17088508	T cells
33398161	CD14+ Mono
41999673	CD14+ Mono
30031783	T cells
5696105	DC
9910292	CD14+ Mono
42362644	CD14+ Mono
10572791	CD14+ Mono
53223863	CD14-
7121109	CD14-
41785710	CD14+ Mono
37220327	CD14+ Mono
46874913	CD14+ Mono
39491567	CD14+ Mono
53142030	CD14+ Mono
4674581	CD14+ Mono
44421035	CD14+ Mono
12262837	CD14+ Mono
53008254	CD14+ Mono
90707	CD14+ Mono
37597329	CD14+ Mono
55184935	CD14+ Mono
35361550	T cells
40942083	CD14+ Mono
49302005	CD14+ Mono
18799587	CD14+ Mono
16296244	T cells
10799979	CD14+ Mono
210194	DC
31861462	CD14+ Mono
2992910	CD14+ Mono
33520602	CD14+ Mono
717021	CD14+ Mono
50780477	CD14+ Mono
48379928	T cells
46672296	CD14+ Mono
44907654	CD14+ Mono
31264802	CD14+ Mono
45056428	CD14+ Mono
20308760	CD14+ Mono
18010001	T cells
30071176	CD14-
42614174	CD14-
34498876	CD14+ Mono
30826161	CD14-
39033101	CD14+ Mono
43170707	CD14+ Mono
34583213	CD14+ Mono
34098793	T cells
29381358	DC
32473495	CD14+ Mono
44562197	CD14+ Mono
24099915	CD14+ Mono
3020037	CD14+ Mono
52116098	CD14+ Mono
13119463	CD14+ Mono
15590609	CD14+ Mono
45614547	CD14+ Mono
27803479	CD14+ Mono
13812848	CD14+ Mono
39010066	CD14+ Mono
18588166	CD14+ Mono
48710313	CD14+ Mono
55469838	CD14+ Mono
46188279	T cells
16440348	CD14+ Mono
8350588	T cells
8266819	CD14+ Mono
7611394	T cells
48776675	T cells
34183664	CD14-
29012618	CD14+ Mono
37525888	T cells
13631105	T cells
19168476	CD14+ Mono
10710076	CD14+ Mono
52012651	CD14+ Mono
50011047	CD14-
633535	DC
45238609	CD14+ Mono
52041078	T cells
29686770	CD14+ Mono
11514122	CD14+ Mono
55837131	CD14+ Mono
41787713	CD14+ Mono
16515526	CD14+ Mono
55939585	CD14+ Mono
20869487	CD14+ Mono
54204785	CD14+ Mono
32485917	CD14+ Mono
20903675	CD14+ Mono
26721330	T cells
6964530	T cells
26247831	CD14-
25736927	CD14+ Mono
11596181	T cells
26414217	CD14-
46651295	CD14+ Mono
35094015	CD14+ Mono
2944160	CD14+ Mono
9692925	CD14+ Mono
5392494	CD14+ Mono
45084063	CD14+ Mono
13181981	T cells
13149061	CD14+ Mono
16895982	CD14+ Mono
31082503	T cells
5162850	CD14+ Mono
13557445	CD14+ Mono
15962544	T cells
24384631	CD14+ Mono
6346402	CD14+ Mono
48901161	CD14+ Mono
6791401	CD14+ Mono
30530753	CD14+ Mono
20176356	CD14-
31554803	CD14+ Mono
38106247	T cells
9236173	DC
1318959	CD14+ Mono
47714864	CD14-
24918291	CD14+ Mono
26873735	CD14+ Mono
3660449	CD14+ Mono
28430315	T cells
40898341	CD14-
6291297	CD14-
23493118	T cells
6361815	CD14+ Mono
13163026	T cells
21474203	T cells
30831024	DC
48246633	CD14+ Mono
7351469	CD14+ Mono
27451581	CD14+ Mono
13928701	CD14+ Mono
26207143	CD14+ Mono
17843734	CD14+ Mono
49163592	CD14-
6012305	CD14+ Mono
15214164	CD14+ Mono
15797110	CD14-
55732776	CD14+ Mono
10731850	CD14+ Mono
29162120	CD14+ Mono
24894557	CD14+ Mono
31359864	CD14+ Mono
46575813	T cells
42532477	CD14-
18979000	T cells
5849652	DC
49436388	CD14+ Mono
23663054	CD14+ Mono
8540951	T cells
15145129	CD14+ Mono
8002247	T cells
41980955	CD14+ Mono
8626462	CD14+ Mono
39284877	CD14-
52260701	CD14-
42910155	T cells
6325679	CD14-
1043018	CD14+ Mono
48885350	CD14+ Mono
3262968	T cells
29339364	T cells
21616285	CD14-
39708679	CD14+ Mono
34821219	CD14+ Mono
42612992	T cells
45597124	CD14+ Mono
8553469	CD14+ Mono
43912468	CD14+ Mono
29884886	CD14+ Mono
10720244	CD14+ Mono
14263128	CD14+ Mono
31178803	CD14+ Mono
16335242	CD14+ Mono
8894141	CD14+ Mono
22141330	CD14+ Mono
36821031	CD14+ Mono
33302778	T cells
53561499	CD14+ Mono
27730936	CD14+ Mono
13009757	CD14+ Mono
54332847	CD14+ Mono
26264521	CD14+ Mono
25140844	CD14+ Mono
37605565	CD14+ Mono
4365433	CD14+ Mono
4557695	CD14+ Mono
19951627	DC
5976201	CD14+ Mono
19649247	CD14+ Mono
6586413	CD14+ Mono
46668507	T cells
41938976	CD14-
38887207	CD14-
48526809	CD14+ Mono
32591833	CD14+ Mono
51438874	CD14+ Mono
49536064	CD14+ Mono
50737501	CD14+ Mono
19956905	CD14+ Mono
40615898	CD14+ Mono
12952593	CD14-
56563220	CD14+ Mono
12432295	CD14+ Mono
6064512	CD14+ Mono
46725944	CD14+ Mono
11768131	DC
8952029	T cells
14144929	CD14-
35726029	CD14+ Mono
27324733	CD14+ Mono
54788667	CD14+ Mono
39126199	T cells
14628179	CD14-
12576757	T cells
21005985	CD14+ Mono
23402270	CD14+ Mono
21582734	DC
9516316	T cells
44046022	CD14+ Mono
7821558	CD14+ Mono
19304050	T cells
53073338	DC
1227366	CD14+ Mono
38351288	CD14+ Mono
20695362	CD14+ Mono
718351	CD14+ Mono
43153867	CD14+ Mono
14586948	CD14+ Mono
8056549	CD14+ Mono
41974446	CD14+ Mono
25152760	CD14+ Mono
50054345	CD14+ Mono
16795043	CD14+ Mono
18760849	T cells
24920475	CD14+ Mono
14828673	CD14+ Mono
31545086	CD14+ Mono
27198123	CD14+ Mono
9815920	CD14-
36134209	CD14+ Mono
49189207	T cells
11751450	T cells
51430788	T cells
52547335	CD14+ Mono
16303982	CD14+ Mono
30345370	CD14+ Mono
51535817	CD14+ Mono
38054771	CD14+ Mono
1804039	T cells
43178041	CD14+ Mono
46008302	T cells
2082192	CD14+ Mono
44744031	CD14-
49690020	CD14+ Mono
28910530	CD14-
47225805	CD14+ Mono
28543418	CD14+ Mono
37555212	CD14+ Mono
22379870	CD14+ Mono
55549053	CD14+ Mono
12527110	T cells
14914336	CD14+ Mono
29165401	CD14+ Mono
17522817	DC
54662868	CD14+ Mono
21182286	CD14+ Mono
5468615	CD14+ Mono
49750254	CD14+ Mono
18892293	T cells
4079345	CD14-
16179733	CD14-
43009330	CD14+ Mono
18422948	T cells
5366359	CD14+ Mono
22443298	CD14+ Mono
37183048	CD14+ Mono
27381685	T cells
24600976	T cells
16414837	CD14+ Mono
21052007	T cells
33165544	CD14+ Mono
15195687	T cells
26442202	CD14+ Mono
37076364	T cells
28569722	CD14+ Mono
5375862	CD14+ Mono
9373319	T cells
51721185	CD14+ Mono
28896036	CD14+ Mono
23791375	CD14+ Mono
23212276	DC
19540604	DC
3482619	CD14+ Mono
28734485	CD14+ Mono
32329780	T cells
16658901	T cells
10580103	CD14+ Mono
46730600	CD14+ Mono
19809450	CD14+ Mono
39952458	CD14+ Mono
39976201	CD14-
50531965	CD14+ Mono
6955829	CD14+ Mono
39116277	CD14-
22686233	CD14+ Mono
40475243	CD14+ Mono
12194859	CD14+ Mono
53488436	CD14+ Mono
21907941	CD14+ Mono
9674193	CD14+ Mono
11184750	CD14+ Mono
55910372	CD14+ Mono
36362158	T cells
55062800	CD14+ Mono
24624920	CD14-
9885502	CD14+ Mono
36999918	CD14+ Mono
51664207	CD14+ Mono
7245907	CD14+ Mono
14486734	CD14+ Mono
15971368	CD14+ Mono
26316738	DC
26714118	CD14+ Mono
12890825	CD14+ Mono
22205883	CD14-
47955606	CD14+ Mono
50859891	CD14+ Mono
16914669	CD14+ Mono
41314847	CD14-
36057105	CD14-
17974032	CD14+ Mono
33884318	T cells
47485293	CD14+ Mono
15631189	CD14+ Mono
25805153	CD14+ Mono
2573188	CD14+ Mono
7943033	DC
11104085	CD14+ Mono
23073307	T cells
2503784	CD14+ Mono
24280876	CD14+ Mono
48617642	T cells
13940176	CD14+ Mono
49799457	CD14+ Mono
37873110	CD14-
9193551	CD14+ Mono
49215013	CD14+ Mono
6110206	DC
3300736	CD14-
51021340	CD14+ Mono
50911097	CD14+ Mono
26057341	CD14+ Mono
56044329	CD14+ Mono
35239121	CD14+ Mono
36549650	CD14+ Mono
13865404	CD14+ Mono
29891569	DC
41273987	CD14+ Mono
28776625	CD14+ Mono
50159379	CD14+ Mono
