	group	names	scores	logfoldchanges	pvals	pvals_adj
0	CD14+ Mono	LYZ	25.04608	4.9168153	1.9262668526736953e-138	2.2652898187442657e-135
1	CD14+ Mono	S100A8	25.015516	5.6274104	4.144756812269206e-138	2.4371170056142934e-135
2	CD14+ Mono	S100A9	24.857407	5.3550215	2.1505104039738027e-136	8.430000783577308e-134
3	CD14+ Mono	VCAN	24.819672	4.8718424	5.498627840984805e-136	1.6165965852495327e-133
4	CD14+ Mono	FOS	24.534014	3.503523	6.406942388189874e-133	1.5069128497022581e-130
5	CD14+ Mono	CD14	24.508387	5.2382107	1.2023025911836291e-132	2.3565130787199133e-130
6	CD14+ Mono	MNDA	24.451727	3.7230823	4.8240413520773114e-132	8.104389471489884e-130
7	CD14+ Mono	FCN1	23.61768	3.4989114	2.5370227682381596e-123	3.7294234693100946e-121
8	CD14+ Mono	CSF3R	23.40855	3.5376866	3.4971640970089675e-121	4.569627753425051e-119
9	CD14+ Mono	MS4A6A	23.036375	4.146469	2.0146210966189666e-117	2.3691944096239046e-115
10	CD14+ Mono	CD36	22.100996	3.4471886	3.091666622963094e-108	3.3052726805496347e-106
11	CD14+ Mono	PLBD1	21.364285	3.536989	2.872159902209284e-101	2.814716704165099e-99
12	CD14+ Mono	S100A12	21.168322	5.8873816	1.870996465797047e-99	1.6925321875210212e-97
13	CD14+ Mono	CEBPD	21.038895	2.6663156	2.8903288916137844e-98	2.427876268955579e-96
14	CD14+ Mono	MEGF9	19.55783	2.4755843	3.538106144645939e-85	2.773875217402416e-83
15	CD14+ Mono	RGS2	18.584013	2.5677588	4.328929445632294e-77	3.181763142539736e-75
16	CD14+ Mono	CPVL	18.50631	2.529535	1.8366087260615516e-76	1.2705010952049321e-74
17	CD14+ Mono	IER2	17.543894	1.8397522	6.622976279874355e-69	3.894310052566121e-67
18	CD14+ Mono	MCL1	16.780968	1.3777337	3.363109931455107e-63	1.7977351269960028e-61
19	CD14+ Mono	NRGN	16.120079	2.4850147	1.843751461421979e-58	9.427181385357596e-57
20	CD14+ Mono	CYP1B1	15.892376	4.7015166	7.156274456735002e-57	3.3663115044481455e-55
21	CD14+ Mono	RHOB	14.7442255	2.2887902	3.3514476729460717e-49	1.4597416531054e-47
22	CD14+ Mono	JUN	14.634194	1.5191671	1.699770721903353e-48	6.892863341235666e-47
23	CD14+ Mono	FOSB	14.584939	1.947858	3.5023378355147964e-48	1.3729164315218001e-46
24	CD14+ Mono	EGR1	14.387448	3.367399	6.204306058231514e-47	2.3536335240258904e-45
25	CD14+ Mono	PLXDC2	14.351477	1.8475759	1.0429258865492634e-46	3.832752633068543e-45
26	CD14+ Mono	PLAUR	14.323264	1.9277012	1.5659290148907632e-46	5.5804015803379923e-45
27	CD14+ Mono	F13A1	14.231571	3.252293	5.835546629487595e-46	2.0184125989051212e-44
28	CD14+ Mono	IRS2	13.655557	2.1769533	1.8705518952373423e-42	5.945321699457066e-41
29	CD14+ Mono	DPYD	13.482164	1.5785199	1.9917791215337625e-41	6.164032228746591e-40
30	CD14+ Mono	RBM47	13.413278	1.9270872	5.055440324975428e-41	1.5244096979925907e-39
31	CD14+ Mono	IL1RN	13.074134	3.1123235	4.6280623856637595e-39	1.3274637476928248e-37
32	CD14+ Mono	DUSP6	13.031932	2.0554814	8.054231991708673e-39	2.2551849576784284e-37
33	CD14+ Mono	C5AR1	12.7076	1.9899393	5.3656026958210995e-37	1.4674299465780495e-35
34	CD14+ Mono	HLA-DRB1	12.665163	1.6505014	9.222866513522076e-37	2.4650206863413547e-35
35	CD14+ Mono	ZFP36L1	12.215283	1.2486728	2.5760244466790848e-34	6.58566249846653e-33
36	CD14+ Mono	HMGB2	12.085856	1.4318943	1.2545631017008458e-33	3.0736795991670723e-32
37	CD14+ Mono	AOAH	11.976531	1.3442184	4.716500152888021e-33	1.1093208359592625e-31
38	CD14+ Mono	PADI4	11.767402	3.440212	5.746701088830706e-32	1.2996385539355597e-30
39	CD14+ Mono	ACTN1	11.694048	1.8078161	1.3671102218621317e-31	2.9772622609441976e-30
40	CD14+ Mono	SELL	11.466581	1.4853905	1.9418024014968846e-30	4.006244954667257e-29
41	CD14+ Mono	HLA-DRA	11.412389	1.9527993	3.6263181358090645e-30	7.228051063917729e-29
42	CD14+ Mono	APOBEC3A	11.2130165	1.5650811	3.5198745727800207e-29	6.785856553425089e-28
43	CD14+ Mono	ACSL1	11.1115675	2.0777783	1.1020743564197851e-28	2.0572054653169324e-27
44	CD14+ Mono	CMIP	11.107218	1.1663891	1.1570803896190943e-28	2.126135215925086e-27
45	CD14+ Mono	CST3	10.9966	1.6868962	3.9681349084924263e-28	7.070494927859233e-27
46	CD14+ Mono	NFKBIA	10.777832	1.2667081	4.380911809206739e-27	7.359931839467322e-26
47	CD14+ Mono	MIR23AHG	10.33818	1.7041578	4.73447309837083e-25	7.523973464437969e-24
48	CD14+ Mono	CD74	10.262004	1.4687881	1.0451473292598541e-24	1.6172279726441953e-23
49	CD14+ Mono	APP	10.188416	1.0408967	2.2337569181724523e-24	3.367818122783082e-23
50	CD14+ Mono	PID1	9.946254	2.0716858	2.6185554661898197e-23	3.755391741755156e-22
51	CD14+ Mono	ARHGAP26	9.880188	1.2384604	5.0737442544329563e-23	7.188823184594165e-22
52	CD14+ Mono	TEX14	9.609696	1.3173118	7.276324732131682e-22	9.949951029054486e-21
53	CD14+ Mono	KIF13A	8.9036665	1.6012856	5.403171079442773e-19	6.759711903643299e-18
54	CD14+ Mono	SLC2A3	8.894614	1.3453994	5.862235484293463e-19	7.256830452135907e-18
55	CD14+ Mono	CATIP	8.487407	2.5849822	2.1129834911783894e-17	2.4602659263621646e-16
56	CD14+ Mono	SLC22A15	8.430982	2.0393426	3.427787501148257e-17	3.8760366359137985e-16
57	CD14+ Mono	SOCS3	8.378317	2.1592789	5.3689888037361866e-17	5.956538521880901e-16
58	CD14+ Mono	PLCB1	8.091955	1.4282335	5.871452923540874e-16	5.952438481106955e-15
59	CD14+ Mono	ENSG00000302489	8.061156	1.0914291	7.55763232881166e-16	7.596389417677362e-15
60	CD14+ Mono	MARCKS	7.943014	1.0273513	1.973265225014419e-15	1.9178181029892205e-14
61	CD14+ Mono	RGS18	7.895405	0.99586284	2.8937478143202028e-15	2.744393088419805e-14
62	CD14+ Mono	ENSG00000290039	7.734003	1.0387243	1.0421668300597579e-14	9.42760147807904e-14
63	CD14+ Mono	HBEGF	7.5688396	3.1405694	3.765735352632702e-14	3.30485430947467e-13
64	CD14+ Mono	GAB2	7.4611597	0.9770747	8.576417959528287e-14	7.361947095186326e-13
65	CD14+ Mono	SPIDR	7.4414105	0.99269146	9.961573329368004e-14	8.488141041153383e-13
66	CD14+ Mono	TRPS1	7.360886	1.3473413	1.8269339800671426e-13	1.5237406812474893e-12
67	CD14+ Mono	CCDC88A	7.347132	0.9675993	2.0250445050585988e-13	1.6653512852789596e-12
68	CD14+ Mono	MAFB	7.3433704	0.96418965	2.082808541777573e-13	1.7009603091183514e-12
69	CD14+ Mono	AIF1	7.2930574	1.7077706	3.029989676421991e-13	2.407613418562339e-12
70	CD14+ Mono	STEAP4	7.230636	7.7456913	4.80736780801818e-13	3.768976361486253e-12
71	CD14+ Mono	BTG2	7.224641	0.8660472	5.024277586250327e-13	3.912947312205553e-12
72	CD14+ Mono	SLC49A4	7.0930977	1.6462033	1.3114268230514133e-12	9.949922218764271e-12
73	CD14+ Mono	CCL3	6.904306	2.1500704	5.044947831583194e-12	3.7080366562136474e-11
74	CD14+ Mono	ZSWIM6	6.8479977	0.88332784	7.489087684752297e-12	5.470290134949503e-11
75	CD14+ Mono	SLC40A1	6.778288	1.7676927	1.2160833425318412e-11	8.720207383033204e-11
76	CD14+ Mono	HLA-DQB1	6.6816583	0.68622875	2.362531934079089e-11	1.6636751823215622e-10
77	CD14+ Mono	DIAPH2	6.409168	0.91388506	1.4631591649999362e-10	9.776563511590484e-10
78	CD14+ Mono	FRMD4B	6.373314	1.5351728	1.849866276296913e-10	1.2221588432163874e-09
79	CD14+ Mono	ADM	6.3505087	3.2456465	2.1460438813871748e-10	1.4099148628554846e-09
80	CD14+ Mono	ARHGAP24	6.3345213	1.3923372	2.3807956718014224e-10	1.555453172243596e-09
81	CD14+ Mono	MAML3	6.237539	1.1823862	4.445084000142277e-10	2.840988469656151e-09
